date,year,month,day,time,attraction,wait_time,status,css_classes,raw_value,data_source
5月12日,2025,5,12,19:15,平均,,no_data,B8,-,realtime.htm最終版
5月12日,2025,5,12,19:45,平均,,no_data,B8,-,realtime.htm最終版
5月12日,2025,5,12,20:15,平均,,no_data,B8,-,realtime.htm最終版
5月12日,2025,5,12,20:45,平均,,no_data,B8,-,realtime.htm最終版
5月12日,2025,5,12,21:15,平均,,no_data,B8,-,realtime.htm最終版
5月12日,2025,5,12,21:45,平均,,no_data,B8,-,realtime.htm最終版
5月12日,2025,5,12,平均,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,08:15,TIME,,empty,FPh,天気・気温,realtime.htm最終版
5月13日,2025,5,13,08:45,TIME,,empty,B1,C,realtime.htm最終版
5月13日,2025,5,13,09:15,TIME,,empty,B2,B,realtime.htm最終版
5月13日,2025,5,13,09:45,TIME,,empty,B1,C,realtime.htm最終版
5月13日,2025,5,13,10:15,TIME,,empty,B3,A,realtime.htm最終版
5月13日,2025,5,13,10:45,TIME,,no_data,B0,-,realtime.htm最終版
5月13日,2025,5,13,11:15,TIME,,no_data,B0,-,realtime.htm最終版
5月13日,2025,5,13,11:45,TIME,,empty,B6,S,realtime.htm最終版
5月13日,2025,5,13,12:15,TIME,,empty,B1,C,realtime.htm最終版
5月13日,2025,5,13,12:45,TIME,,no_data,B0,-,realtime.htm最終版
5月13日,2025,5,13,13:15,TIME,,no_data,B0,-,realtime.htm最終版
5月13日,2025,5,13,13:45,TIME,,empty,B1,C,realtime.htm最終版
5月13日,2025,5,13,14:15,TIME,,empty,B6,S,realtime.htm最終版
5月13日,2025,5,13,14:45,TIME,,empty,B2,B,realtime.htm最終版
5月13日,2025,5,13,15:15,TIME,,empty,B2,B,realtime.htm最終版
5月13日,2025,5,13,15:45,TIME,,empty,B6,S,realtime.htm最終版
5月13日,2025,5,13,16:15,TIME,,empty,B3,A,realtime.htm最終版
5月13日,2025,5,13,16:45,TIME,,empty,B1,C,realtime.htm最終版
5月13日,2025,5,13,17:15,TIME,,empty,B1,C,realtime.htm最終版
5月13日,2025,5,13,17:45,TIME,,empty,B2,B,realtime.htm最終版
5月13日,2025,5,13,18:15,TIME,,empty,B2,B,realtime.htm最終版
5月13日,2025,5,13,18:45,TIME,,empty,B3,A,realtime.htm最終版
5月13日,2025,5,13,19:15,TIME,,empty,B2,B,realtime.htm最終版
5月13日,2025,5,13,19:45,TIME,,empty,B2,B,realtime.htm最終版
5月13日,2025,5,13,20:15,TIME,,empty,B3,A,realtime.htm最終版
5月13日,2025,5,13,20:45,TIME,,empty,B2,B,realtime.htm最終版
5月13日,2025,5,13,21:15,TIME,,empty,B1,C,realtime.htm最終版
5月13日,2025,5,13,21:45,TIME,,no_data,B0,-,realtime.htm最終版
5月13日,2025,5,13,平均,TIME,,no_data,B0,-,realtime.htm最終版
5月13日,2025,5,13,08:15,オムニバス,,empty,FPh2,リバ｜鉄道,realtime.htm最終版
5月13日,2025,5,13,08:45,オムニバス,,empty,FPh2,カリブの海賊,realtime.htm最終版
5月13日,2025,5,13,09:15,オムニバス,,empty,FPh2,ジャングル,realtime.htm最終版
5月13日,2025,5,13,09:45,オムニバス,,empty,FPh2,ツリ｜ハウス,realtime.htm最終版
5月13日,2025,5,13,10:15,オムニバス,,empty,FPh2,魅惑のチキル｜ム,realtime.htm最終版
5月13日,2025,5,13,10:45,オムニバス,,empty,FPh2,ビッグサンダ｜,realtime.htm最終版
5月13日,2025,5,13,11:15,オムニバス,,empty,FPh2,Ｓギャラリ｜,realtime.htm最終版
5月13日,2025,5,13,11:45,オムニバス,,empty,FPh2,ベア・シアタ｜,realtime.htm最終版
5月13日,2025,5,13,12:15,オムニバス,,empty,FPh2,いかだ,realtime.htm最終版
5月13日,2025,5,13,12:45,オムニバス,,empty,FPh2,蒸気船,realtime.htm最終版
5月13日,2025,5,13,13:15,オムニバス,,empty,FPh2,スプラッシュ,realtime.htm最終版
5月13日,2025,5,13,13:45,オムニバス,,empty,FPh2,カヌ｜探検,realtime.htm最終版
5月13日,2025,5,13,14:15,オムニバス,,empty,FPh2,スモ｜ルワ｜ルド,realtime.htm最終版
5月13日,2025,5,13,14:45,オムニバス,,empty,FPh2,ハニ｜ハント,realtime.htm最終版
5月13日,2025,5,13,15:15,オムニバス,,empty,FPh2,ホ｜ンテッド,realtime.htm最終版
5月13日,2025,5,13,15:45,オムニバス,,empty,FPh2,アリス,realtime.htm最終版
5月13日,2025,5,13,16:15,オムニバス,,empty,FPh2,カル｜セル,realtime.htm最終版
5月13日,2025,5,13,16:45,オムニバス,,empty,FPh2,シンデレラ,realtime.htm最終版
5月13日,2025,5,13,17:15,オムニバス,,empty,FPh2,ピノキオ,realtime.htm最終版
5月13日,2025,5,13,17:45,オムニバス,,empty,FPh2,ピ｜タ｜パン,realtime.htm最終版
5月13日,2025,5,13,18:15,オムニバス,,empty,FPh2,フィルハ｜,realtime.htm最終版
5月13日,2025,5,13,18:45,オムニバス,,empty,FPh2,白雪姫,realtime.htm最終版
5月13日,2025,5,13,19:15,オムニバス,,empty,FPh2,空飛ぶダンボ,realtime.htm最終版
5月13日,2025,5,13,19:45,オムニバス,,empty,FPh2,ゴ｜コ｜スタ｜,realtime.htm最終版
5月13日,2025,5,13,20:15,オムニバス,,empty,FPh2,グ｜フィ｜,realtime.htm最終版
5月13日,2025,5,13,20:45,オムニバス,,empty,FPh2,ＣＤツリ｜ハウス,realtime.htm最終版
5月13日,2025,5,13,21:15,オムニバス,,empty,FPh2,ドナルドのボ｜ト,realtime.htm最終版
5月13日,2025,5,13,21:45,オムニバス,,empty,FPh2,ミニ｜の家,realtime.htm最終版
5月13日,2025,5,13,平均,オムニバス,,empty,FPh2,カ｜トゥ｜ン,realtime.htm最終版
5月13日,2025,5,13,08:15,平均,,no_data,FPM,,realtime.htm最終版
5月13日,2025,5,13,08:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,09:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,09:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,10:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,10:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,11:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,11:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,12:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,12:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,13:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,13:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,14:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,14:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,15:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,15:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,16:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,16:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,17:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,17:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,18:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,18:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,19:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,19:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,20:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,20:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,21:15,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,21:45,平均,,no_data,B8,-,realtime.htm最終版
5月13日,2025,5,13,平均,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,08:15,TIME,,empty,FPh,天気・気温,realtime.htm最終版
5月14日,2025,5,14,08:45,TIME,,empty,B1,C,realtime.htm最終版
5月14日,2025,5,14,09:15,TIME,,empty,B2,B,realtime.htm最終版
5月14日,2025,5,14,09:45,TIME,,empty,B1,C,realtime.htm最終版
5月14日,2025,5,14,10:15,TIME,,empty,B3,A,realtime.htm最終版
5月14日,2025,5,14,10:45,TIME,,no_data,B0,-,realtime.htm最終版
5月14日,2025,5,14,11:15,TIME,,no_data,B0,-,realtime.htm最終版
5月14日,2025,5,14,11:45,TIME,,empty,B6,S,realtime.htm最終版
5月14日,2025,5,14,12:15,TIME,,empty,B1,C,realtime.htm最終版
5月14日,2025,5,14,12:45,TIME,,no_data,B0,-,realtime.htm最終版
5月14日,2025,5,14,13:15,TIME,,no_data,B0,-,realtime.htm最終版
5月14日,2025,5,14,13:45,TIME,,empty,B1,C,realtime.htm最終版
5月14日,2025,5,14,14:15,TIME,,empty,B6,S,realtime.htm最終版
5月14日,2025,5,14,14:45,TIME,,empty,B2,B,realtime.htm最終版
5月14日,2025,5,14,15:15,TIME,,empty,B2,B,realtime.htm最終版
5月14日,2025,5,14,15:45,TIME,,empty,B6,S,realtime.htm最終版
5月14日,2025,5,14,16:15,TIME,,empty,B3,A,realtime.htm最終版
5月14日,2025,5,14,16:45,TIME,,empty,B1,C,realtime.htm最終版
5月14日,2025,5,14,17:15,TIME,,empty,B1,C,realtime.htm最終版
5月14日,2025,5,14,17:45,TIME,,empty,B2,B,realtime.htm最終版
5月14日,2025,5,14,18:15,TIME,,empty,B2,B,realtime.htm最終版
5月14日,2025,5,14,18:45,TIME,,empty,B3,A,realtime.htm最終版
5月14日,2025,5,14,19:15,TIME,,empty,B2,B,realtime.htm最終版
5月14日,2025,5,14,19:45,TIME,,empty,B2,B,realtime.htm最終版
5月14日,2025,5,14,20:15,TIME,,empty,B3,A,realtime.htm最終版
5月14日,2025,5,14,20:45,TIME,,empty,B2,B,realtime.htm最終版
5月14日,2025,5,14,21:15,TIME,,empty,B1,C,realtime.htm最終版
5月14日,2025,5,14,21:45,TIME,,no_data,B0,-,realtime.htm最終版
5月14日,2025,5,14,平均,TIME,,no_data,B0,-,realtime.htm最終版
5月14日,2025,5,14,08:15,オムニバス,,empty,FPh2,リバ｜鉄道,realtime.htm最終版
5月14日,2025,5,14,08:45,オムニバス,,empty,FPh2,カリブの海賊,realtime.htm最終版
5月14日,2025,5,14,09:15,オムニバス,,empty,FPh2,ジャングル,realtime.htm最終版
5月14日,2025,5,14,09:45,オムニバス,,empty,FPh2,ツリ｜ハウス,realtime.htm最終版
5月14日,2025,5,14,10:15,オムニバス,,empty,FPh2,魅惑のチキル｜ム,realtime.htm最終版
5月14日,2025,5,14,10:45,オムニバス,,empty,FPh2,ビッグサンダ｜,realtime.htm最終版
5月14日,2025,5,14,11:15,オムニバス,,empty,FPh2,Ｓギャラリ｜,realtime.htm最終版
5月14日,2025,5,14,11:45,オムニバス,,empty,FPh2,ベア・シアタ｜,realtime.htm最終版
5月14日,2025,5,14,12:15,オムニバス,,empty,FPh2,いかだ,realtime.htm最終版
5月14日,2025,5,14,12:45,オムニバス,,empty,FPh2,蒸気船,realtime.htm最終版
5月14日,2025,5,14,13:15,オムニバス,,empty,FPh2,スプラッシュ,realtime.htm最終版
5月14日,2025,5,14,13:45,オムニバス,,empty,FPh2,カヌ｜探検,realtime.htm最終版
5月14日,2025,5,14,14:15,オムニバス,,empty,FPh2,スモ｜ルワ｜ルド,realtime.htm最終版
5月14日,2025,5,14,14:45,オムニバス,,empty,FPh2,ハニ｜ハント,realtime.htm最終版
5月14日,2025,5,14,15:15,オムニバス,,empty,FPh2,ホ｜ンテッド,realtime.htm最終版
5月14日,2025,5,14,15:45,オムニバス,,empty,FPh2,アリス,realtime.htm最終版
5月14日,2025,5,14,16:15,オムニバス,,empty,FPh2,カル｜セル,realtime.htm最終版
5月14日,2025,5,14,16:45,オムニバス,,empty,FPh2,シンデレラ,realtime.htm最終版
5月14日,2025,5,14,17:15,オムニバス,,empty,FPh2,ピノキオ,realtime.htm最終版
5月14日,2025,5,14,17:45,オムニバス,,empty,FPh2,ピ｜タ｜パン,realtime.htm最終版
5月14日,2025,5,14,18:15,オムニバス,,empty,FPh2,フィルハ｜,realtime.htm最終版
5月14日,2025,5,14,18:45,オムニバス,,empty,FPh2,白雪姫,realtime.htm最終版
5月14日,2025,5,14,19:15,オムニバス,,empty,FPh2,空飛ぶダンボ,realtime.htm最終版
5月14日,2025,5,14,19:45,オムニバス,,empty,FPh2,ゴ｜コ｜スタ｜,realtime.htm最終版
5月14日,2025,5,14,20:15,オムニバス,,empty,FPh2,グ｜フィ｜,realtime.htm最終版
5月14日,2025,5,14,20:45,オムニバス,,empty,FPh2,ＣＤツリ｜ハウス,realtime.htm最終版
5月14日,2025,5,14,21:15,オムニバス,,empty,FPh2,ドナルドのボ｜ト,realtime.htm最終版
5月14日,2025,5,14,21:45,オムニバス,,empty,FPh2,ミニ｜の家,realtime.htm最終版
5月14日,2025,5,14,平均,オムニバス,,empty,FPh2,カ｜トゥ｜ン,realtime.htm最終版
5月14日,2025,5,14,08:15,平均,,no_data,FPM,,realtime.htm最終版
5月14日,2025,5,14,08:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,09:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,09:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,10:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,10:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,11:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,11:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,12:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,12:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,13:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,13:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,14:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,14:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,15:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,15:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,16:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,16:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,17:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,17:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,18:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,18:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,19:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,19:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,20:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,20:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,21:15,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,21:45,平均,,no_data,B8,-,realtime.htm最終版
5月14日,2025,5,14,平均,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,08:15,TIME,,empty,FPh,天気・気温,realtime.htm最終版
5月15日,2025,5,15,08:45,TIME,,empty,B1,C,realtime.htm最終版
5月15日,2025,5,15,09:15,TIME,,empty,B2,B,realtime.htm最終版
5月15日,2025,5,15,09:45,TIME,,empty,B1,C,realtime.htm最終版
5月15日,2025,5,15,10:15,TIME,,empty,B3,A,realtime.htm最終版
5月15日,2025,5,15,10:45,TIME,,no_data,B0,-,realtime.htm最終版
5月15日,2025,5,15,11:15,TIME,,no_data,B0,-,realtime.htm最終版
5月15日,2025,5,15,11:45,TIME,,empty,B6,S,realtime.htm最終版
5月15日,2025,5,15,12:15,TIME,,empty,B1,C,realtime.htm最終版
5月15日,2025,5,15,12:45,TIME,,no_data,B0,-,realtime.htm最終版
5月15日,2025,5,15,13:15,TIME,,no_data,B0,-,realtime.htm最終版
5月15日,2025,5,15,13:45,TIME,,empty,B1,C,realtime.htm最終版
5月15日,2025,5,15,14:15,TIME,,empty,B6,S,realtime.htm最終版
5月15日,2025,5,15,14:45,TIME,,empty,B2,B,realtime.htm最終版
5月15日,2025,5,15,15:15,TIME,,empty,B2,B,realtime.htm最終版
5月15日,2025,5,15,15:45,TIME,,empty,B6,S,realtime.htm最終版
5月15日,2025,5,15,16:15,TIME,,empty,B3,A,realtime.htm最終版
5月15日,2025,5,15,16:45,TIME,,empty,B1,C,realtime.htm最終版
5月15日,2025,5,15,17:15,TIME,,empty,B1,C,realtime.htm最終版
5月15日,2025,5,15,17:45,TIME,,empty,B2,B,realtime.htm最終版
5月15日,2025,5,15,18:15,TIME,,empty,B2,B,realtime.htm最終版
5月15日,2025,5,15,18:45,TIME,,empty,B3,A,realtime.htm最終版
5月15日,2025,5,15,19:15,TIME,,empty,B2,B,realtime.htm最終版
5月15日,2025,5,15,19:45,TIME,,empty,B2,B,realtime.htm最終版
5月15日,2025,5,15,20:15,TIME,,empty,B3,A,realtime.htm最終版
5月15日,2025,5,15,20:45,TIME,,empty,B2,B,realtime.htm最終版
5月15日,2025,5,15,21:15,TIME,,empty,B1,C,realtime.htm最終版
5月15日,2025,5,15,21:45,TIME,,no_data,B0,-,realtime.htm最終版
5月15日,2025,5,15,平均,TIME,,no_data,B0,-,realtime.htm最終版
5月15日,2025,5,15,08:15,オムニバス,,empty,FPh2,リバ｜鉄道,realtime.htm最終版
5月15日,2025,5,15,08:45,オムニバス,,empty,FPh2,カリブの海賊,realtime.htm最終版
5月15日,2025,5,15,09:15,オムニバス,,empty,FPh2,ジャングル,realtime.htm最終版
5月15日,2025,5,15,09:45,オムニバス,,empty,FPh2,ツリ｜ハウス,realtime.htm最終版
5月15日,2025,5,15,10:15,オムニバス,,empty,FPh2,魅惑のチキル｜ム,realtime.htm最終版
5月15日,2025,5,15,10:45,オムニバス,,empty,FPh2,ビッグサンダ｜,realtime.htm最終版
5月15日,2025,5,15,11:15,オムニバス,,empty,FPh2,Ｓギャラリ｜,realtime.htm最終版
5月15日,2025,5,15,11:45,オムニバス,,empty,FPh2,ベア・シアタ｜,realtime.htm最終版
5月15日,2025,5,15,12:15,オムニバス,,empty,FPh2,いかだ,realtime.htm最終版
5月15日,2025,5,15,12:45,オムニバス,,empty,FPh2,蒸気船,realtime.htm最終版
5月15日,2025,5,15,13:15,オムニバス,,empty,FPh2,スプラッシュ,realtime.htm最終版
5月15日,2025,5,15,13:45,オムニバス,,empty,FPh2,カヌ｜探検,realtime.htm最終版
5月15日,2025,5,15,14:15,オムニバス,,empty,FPh2,スモ｜ルワ｜ルド,realtime.htm最終版
5月15日,2025,5,15,14:45,オムニバス,,empty,FPh2,ハニ｜ハント,realtime.htm最終版
5月15日,2025,5,15,15:15,オムニバス,,empty,FPh2,ホ｜ンテッド,realtime.htm最終版
5月15日,2025,5,15,15:45,オムニバス,,empty,FPh2,アリス,realtime.htm最終版
5月15日,2025,5,15,16:15,オムニバス,,empty,FPh2,カル｜セル,realtime.htm最終版
5月15日,2025,5,15,16:45,オムニバス,,empty,FPh2,シンデレラ,realtime.htm最終版
5月15日,2025,5,15,17:15,オムニバス,,empty,FPh2,ピノキオ,realtime.htm最終版
5月15日,2025,5,15,17:45,オムニバス,,empty,FPh2,ピ｜タ｜パン,realtime.htm最終版
5月15日,2025,5,15,18:15,オムニバス,,empty,FPh2,フィルハ｜,realtime.htm最終版
5月15日,2025,5,15,18:45,オムニバス,,empty,FPh2,白雪姫,realtime.htm最終版
5月15日,2025,5,15,19:15,オムニバス,,empty,FPh2,空飛ぶダンボ,realtime.htm最終版
5月15日,2025,5,15,19:45,オムニバス,,empty,FPh2,ゴ｜コ｜スタ｜,realtime.htm最終版
5月15日,2025,5,15,20:15,オムニバス,,empty,FPh2,グ｜フィ｜,realtime.htm最終版
5月15日,2025,5,15,20:45,オムニバス,,empty,FPh2,ＣＤツリ｜ハウス,realtime.htm最終版
5月15日,2025,5,15,21:15,オムニバス,,empty,FPh2,ドナルドのボ｜ト,realtime.htm最終版
5月15日,2025,5,15,21:45,オムニバス,,empty,FPh2,ミニ｜の家,realtime.htm最終版
5月15日,2025,5,15,平均,オムニバス,,empty,FPh2,カ｜トゥ｜ン,realtime.htm最終版
5月15日,2025,5,15,08:15,平均,,no_data,FPM,,realtime.htm最終版
5月15日,2025,5,15,08:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,09:15,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,09:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,10:15,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,10:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,11:15,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,11:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,12:15,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,12:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,13:15,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,13:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,14:15,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,14:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,15:15,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,15:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,16:15,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,16:45,平均,,no_data,B8,-,realtime.htm最終版
5月15日,2025,5,15,17:15,平均,,no_data,B8,-,realtime.htm最終版
